,HS_code,HS_description,cluster_labels
0,101,"Live horses, asses, mules and hinnies.",11
8,203,"Meat of swine, fresh, chilled or frozen.",11
27,405,Butter and other fats and oils derived from milk; dairy spreads.,11
253,2703,"Peat (including peat litter), whether or not agglomerated.",11
354,2937,"Hormones, natural or reproduced by synthesis; derivatives thereof, used primarily as hormones; other steroids used primarily as hormones.",11
360,3001,"Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared",11
361,3002,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; vaccines, toxin",11
376,3206,"Other colouring matter; preparations as specified in Note 3 to this Chapter, other than those of heading No. 32.03, 32.04 or 32.05; inorganic products of a kind used as luminophores, whether or not chemically defined.",11
395,3403,"Lubricating preparations (including cutting-oil preparations, bolt or nut release preparations, anti-rust or anti-corrosion preparations and mould release preparations, based on lubricants) and preparations of a kind used for the oil or",11
401,3502,"Albumins (including concentrates of two or more whey proteins, containing by weight more than 80 % whey proteins, calculated on the dry matter), albuminates and other albumin derivatives.",11
403,3504,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed.",11
404,3505,"Dextrins and other modified starches (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches.",11
406,3507,Enzymes; prepared enzymes not elsewhere specified or included.,11
423,3804,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading No. 38.03.",11
426,3807,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch.",11
434,3815,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included.",11
438,3819,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals.",11
440,3821,Prepared culture media for development of micro-organisms.,11
441,3822,"Diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading No. 30.02 or 30.06.",11
443,3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included; residual products o",11
790,7017,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated.",11
816,7205,"Granules and powders, of pig iron, spiegeleisen, iron or steel.",11
881,7415,"Nails, tacks, drawing pins, staples (other than those of heading No.83.05) and similar articles, of copper or of iron or steel with heads of copper; screws, bolts, nuts, screw hooks, rivets, cotters, cotter-pins, washers (including spri",11
890,7505,"Nickel bars, rods, profiles and wire.",11
920,7905,"Zinc plates, sheets, strip and foil.",11
995,8427,Fork-lift trucks; other works trucks fitted with lifting or handling equipment.,11
1146,9007,"Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing apparatus.",11
1153,9014,Direction finding compasses; other navigational instruments and appliances.,11
1157,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments.",11
1158,9019,"Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus.",11
1159,9020,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters.",11
1160,9021,"Orthopaedic appliances, including crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compe",11
1162,9023,"Instruments, apparatus and models, designed for demonstrational purposes (for example, in education or exhibitions), unsuitable for other uses.",11
1163,9024,"Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials (for example, metals, wood, textiles, paper, plastics).",11
1166,9027,"Instruments + apparatus for physical or chemical analysis (e.g., polarimeters, refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface",11
1238,9704,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery (stamped paper), and the like, used, or if unused not of current or new issue in the country to which they are destined.",11
1239,9705,"Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical, historical, archaeological, palaeontological, ethnographic or numismatic interest.",11
