,HS_code,HS_description,cluster_labels
98,1105,"Flour, meal, powder, flakes, granules and pellets of potatoes.",0
102,1109,"Wheat gluten, whether or not dried.",0
112,1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin.",0
125,1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",0
128,1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",0
167,2004,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading No. 20.06.",0
234,2605,Cobalt ores and concentrates.,0
242,2613,Molybdenum ores and concentrates.,0
279,2813,Sulphides of non-metals; commercial phosphorus trisulphide,0
282,2816,"Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium",0
309,2843,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals",0
310,2844,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their coumpounds; mixtures and residues containing these products,0
311,2845,"Isotopes other than those of heading No. 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined",0
317,2851,"Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals",0
326,2909,"Ethers, ether-alcohols, ether-phenols, ether-alcohol- phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivativ",0
345,2928,Organic derivatives of hydrazine or of hydroxylamine.,0
346,2929,Compounds with other nitrogen function.,0
350,2933,Heterocyclic compounds with nitrogen hetero-atom(s) only.,0
352,2935,Sulphonamides.,0
387,3302,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind",0
400,3501,"Casein, caseinates and other casein derivatives; casein glues.",0
413,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs.",0
415,3703,"Photographic paper, paperboard and textiles, sensitised, unexposed.",0
422,3803,"Tall oil, whether or not refined.",0
430,3811,"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and other prepared additives, for mineral oils (including gasoline) or for other liquids used for the same purpos",0
