,HS_code,HS_description,cluster_labels
51,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled.",9
52,705,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled.",9
58,711,"Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",9
69,808,"Apples, pears and quinces, fresh.",9
116,1214,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets.",9
146,1603,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates.",9
183,2205,Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances.,9
187,2209,Vinegar and substitutes for vinegar obtained from acetic acid.,9
194,2307,Wine lees; argol.,9
217,2518,"Dolomite, whether or not calcined; dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; agglomerated dolomite (including tarred dolomite).",9
290,2824,Lead oxides; red lead and orange lead,9
321,2904,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated",9
356,2939,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.",9
402,3503,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading No. 35.01.",9
425,3806,"Rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; run gums.",9
475,4006,"Other forms (for example, rods, tubes and profile shapes) and articles (for example, discs and rings), of unvulcanised rubber.",9
523,4416,"Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.",9
586,5104,Garnetted stock of wool or of fine or coarse animal hair.,9
593,5111,Woven fabrics of carded wool or of carded fine animal hair.,9
594,5112,Woven fabrics of combed wool or of combed fine animal hair.,9
609,5302,"True hemp (Cannabis sativa L.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garnetted stock).",9
632,5506,"Synthetic staple fibres, carded, combed or otherwise processed for spinning.",9
673,5906,"Rubberised textile fabrics, other than those of heading No. 59.02.",9
973,8405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers.",9
1198,9303,"Other firearms and similar devices which operate by the firing of an explosive charge (e.g., sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revol",9
1200,9305,Parts and accessories of articles of headings Nos. 93.01 to 93.04.,9
1218,9602,"Worked vegetable or mineral carving material and articles of these materials; moulded or carved articles of wax, of stearin, of natural gums or natural resins or of modelling pastes, and other moulded or carved articles, not elsewhere s",9
