,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
0,101,"Live horses, asses, mules and hinnies.",19
8,203,"Meat of swine, fresh, chilled or frozen.",19
98,1105,"Flour, meal, powder, flakes, granules and pellets of potatoes.",19
102,1109,"Wheat gluten, whether or not dried.",19
167,2004,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading No. 20.06.",19
253,2703,"Peat (including peat litter), whether or not agglomerated.",19
309,2843,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals",19
340,2923,Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids.,19
353,2936,"Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent.",19
360,3001,"Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared",19
361,3002,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; vaccines, toxin",19
365,3006,Pharmaceutical goods specified in Note 4 to this Chapter.,19
395,3403,"Lubricating preparations (including cutting-oil preparations, bolt or nut release preparations, anti-rust or anti-corrosion preparations and mould release preparations, based on lubricants) and preparations of a kind used for the oil or",19
401,3502,"Albumins (including concentrates of two or more whey proteins, containing by weight more than 80 % whey proteins, calculated on the dry matter), albuminates and other albumin derivatives.",19
403,3504,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed.",19
406,3507,Enzymes; prepared enzymes not elsewhere specified or included.,19
423,3804,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading No. 38.03.",19
432,3813,Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades.,19
434,3815,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included.",19
438,3819,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals.",19
440,3821,Prepared culture media for development of micro-organisms.,19
441,3822,"Diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading No. 30.02 or 30.06.",19
456,3913,"Natural polymers (for example, alginic acid) and modified natural polymers (for example, hardened proteins, chemical derivatives of natural rubber), not elsewhere specified or included, in primary forms.",19
568,4904,"Music, printed or in manuscript, whether or not bound or illustrated.",19
881,7415,"Nails, tacks, drawing pins, staples (other than those of heading No.83.05) and similar articles, of copper or of iron or steel with heads of copper; screws, bolts, nuts, screw hooks, rivets, cotters, cotter-pins, washers (including spri",19
890,7505,"Nickel bars, rods, profiles and wire.",19
891,7506,"Nickel plates, sheets, strip and foil.",19
892,7507,"Nickel tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",19
995,8427,Fork-lift trucks; other works trucks fitted with lifting or handling equipment.,19
1153,9014,Direction finding compasses; other navigational instruments and appliances.,19
1159,9020,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters.",19
1160,9021,"Orthopaedic appliances, including crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compe",19
1161,9022,"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high t",19
1163,9024,"Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials (for example, metals, wood, textiles, paper, plastics).",19
1166,9027,"Instruments + apparatus for physical or chemical analysis (e.g., polarimeters, refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface",19
