,HS_code,HS_description,cluster_labels
1,102,Live bovine animals.,4
2,103,Live swine.,4
4,105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",4
5,106,Other live animals.,4
6,201,"Meat of bovine animals, fresh or chilled.",4
10,205,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",4
11,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen.",4
12,207,"Meat and edible offal, of the poultry of heading No. 01.05, fresh, chilled or frozen.",4
13,208,"Other meat and edible meat offal, fresh, chilled or frozen.",4
23,401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",4
24,402,"Milk and cream, concentrated or containing added sugar or other sweetening matter.",4
25,403,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit",4
28,406,Cheese and curd.,4
29,407,"Birds' eggs, in shell, fresh, preserved or cooked.",4
31,409,Natural honey.,4
36,504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",4
38,506,"Bones and horn-cores, unworked, defatted,simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products.",4
39,507,"Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products.",4
40,508,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste there",4
43,511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",4
45,602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",4
47,604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregn",4
48,701,"Potatoes, fresh or chilled.",4
53,706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled.",4
56,709,"Other vegetables, fresh or chilled.",4
57,710,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen.",4
72,811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",4
74,813,"Fruit, dried, other than that of headings Nos. 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",4
93,1008,"Buckwheat, millet and canary seed; other cereals.",4
96,1103,"Cereal groats, meal and pellets.",4
97,1104,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading No. 10.06; germ of cereals, whole, rolled, flaked or ground.",4
101,1108,Starches; inulin.,4
137,1515,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified.",4
